Var;Geo;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Area (1000ha);Extra-Regio NUTS 2;;;;;;;;;;
Area (1000ha);Luxembourg;0;0;0;0;0;0;0,01;0,01;0,01;
Area (1000ha);Luxembourg;;0;0;0;0;0;;0,01;0,01;
Area (1000ha);Luxembourg;;;;;;;;0,01;0,01;
Area (1000ha);Extra-Regio NUTS 1;;0;0;0;0;0;;0;;
Area (1000ha);Extra-Regio NUTS 2;;0;0;0;0;0;;0;;
Area (1000ha);Hungary;42,97;72,02;61,03;75,67;62,12;58,23;58,67;62,12;68,86;67,4
Area (1000ha);Közép-Magyarország;0,26;0,92;0,66;0,96;0,76;0,69;0,22;0,18;;
Area (1000ha);Budapest;0,21;0,49;0,27;0,19;0,23;0,19;0;0;;
Area (1000ha);Pest;0,06;0,43;0,4;0,77;0,53;0,49;0,22;0,18;;
Area (1000ha);Közép-Magyarország (NUTS 2013);0,26;0,92;0,66;;;;;;;
Area (1000ha);Dunántúl;28,17;44,9;39,18;49,66;43,38;40,61;41,34;44,89;;
Area (1000ha);Közép-Dunántúl;1,73;4,72;3,48;3,51;2,46;2,29;2,26;2,49;;
Area (1000ha);Nyugat-Dunántúl;8,02;13,45;14,22;21,07;17,82;18,2;18,44;20,75;;
Area (1000ha);Dél-Dunántúl;18,42;26,73;21,47;25,07;23,11;20,11;20,65;21,65;;
Area (1000ha);Alföld és Észak;14,55;26,2;21,19;25,05;17,98;16,94;17,11;17,05;;
Area (1000ha);Észak-Magyarország;3,75;5,79;4,49;5,96;3,93;3,12;4,23;4,38;;
Area (1000ha);Észak-Alföld;2,09;3,9;3,6;3,67;2,94;3,13;2,16;1,98;;
Area (1000ha);Dél-Alföld;8,71;16,5;13,11;15,42;11,1;10,68;10,72;10,68;;
Area (1000ha);Extra-Regio NUTS 1;;;;;;;;;;
