Domain Code;Domain;Area Code (M49);Area;Element Code;Element;Item Code (CPC);Item;Year Code;Year;Unit;Value;Flag;Flag Description;
QCL;Crops and livestock products;100;Bulgaria;5419;Yield;141;Soya beans;2017;2017;hg/ha;17346;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5419;Yield;141;Soya beans;2018;2018;hg/ha;20388;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5419;Yield;141;Soya beans;2019;2019;hg/ha;19611;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5419;Yield;141;Soya beans;2020;2020;hg/ha;13747;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5419;Yield;141;Soya beans;2021;2021;hg/ha;14121;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5510;Production;141;Soya beans;2010;2010;tonnes;1647;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5510;Production;141;Soya beans;2011;2011;tonnes;680;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5510;Production;141;Soya beans;2012;2012;tonnes;196;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5510;Production;141;Soya beans;2013;2013;tonnes;604;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5510;Production;141;Soya beans;2014;2014;tonnes;736;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5510;Production;141;Soya beans;2015;2015;tonnes;40281;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5510;Production;141;Soya beans;2016;2016;tonnes;18301;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5510;Production;141;Soya beans;2017;2017;tonnes;20000;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5510;Production;141;Soya beans;2018;2018;tonnes;4730;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5510;Production;141;Soya beans;2019;2019;tonnes;7570;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5510;Production;141;Soya beans;2020;2020;tonnes;6200;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5510;Production;141;Soya beans;2021;2021;tonnes;2810;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5312;Area harvested;141;Soya beans;2010;2010;ha;56456;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5312;Area harvested;141;Soya beans;2011;2011;ha;58896;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5312;Area harvested;141;Soya beans;2012;2012;ha;54109;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5312;Area harvested;141;Soya beans;2013;2013;ha;47156;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5312;Area harvested;141;Soya beans;2014;2014;ha;47104;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5312;Area harvested;141;Soya beans;2015;2015;ha;88867;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5312;Area harvested;141;Soya beans;2016;2016;ha;78614;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5312;Area harvested;141;Soya beans;2017;2017;ha;85133;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5312;Area harvested;141;Soya beans;2018;2018;ha;77090;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5312;Area harvested;141;Soya beans;2019;2019;ha;78330;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5312;Area harvested;141;Soya beans;2020;2020;ha;86190;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5312;Area harvested;141;Soya beans;2021;2021;ha;86260;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5419;Yield;141;Soya beans;2010;2010;hg/ha;27203;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5419;Yield;141;Soya beans;2011;2011;hg/ha;25005;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5419;Yield;141;Soya beans;2012;2012;hg/ha;17875;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5419;Yield;141;Soya beans;2013;2013;hg/ha;23606;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5419;Yield;141;Soya beans;2014;2014;hg/ha;27901;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5419;Yield;141;Soya beans;2015;2015;hg/ha;22104;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5419;Yield;141;Soya beans;2016;2016;hg/ha;31047;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5419;Yield;141;Soya beans;2017;2017;hg/ha;24405;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5419;Yield;141;Soya beans;2018;2018;hg/ha;31806;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5419;Yield;141;Soya beans;2019;2019;hg/ha;31186;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5419;Yield;141;Soya beans;2020;2020;hg/ha;30863;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5419;Yield;141;Soya beans;2021;2021;hg/ha;26417;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5510;Production;141;Soya beans;2010;2010;tonnes;153580;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5510;Production;141;Soya beans;2011;2011;tonnes;147271;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5510;Production;141;Soya beans;2012;2012;tonnes;96718;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5510;Production;141;Soya beans;2013;2013;tonnes;111316;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5510;Production;141;Soya beans;2014;2014;tonnes;131424;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5510;Production;141;Soya beans;2015;2015;tonnes;196431;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5510;Production;141;Soya beans;2016;2016;tonnes;244075;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5510;Production;141;Soya beans;2017;2017;tonnes;207765;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5510;Production;141;Soya beans;2018;2018;tonnes;245190;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5510;Production;141;Soya beans;2019;2019;tonnes;244280;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5510;Production;141;Soya beans;2020;2020;tonnes;266010;A;Official figure;
QCL;Crops and livestock products;191;Croatia;5510;Production;141;Soya beans;2021;2021;tonnes;227870;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5312;Area harvested;141;Soya beans;2010;2010;ha;9472;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5312;Area harvested;141;Soya beans;2011;2011;ha;7584;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5312;Area harvested;141;Soya beans;2012;2012;ha;5742;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5312;Area harvested;141;Soya beans;2013;2013;ha;6507;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5312;Area harvested;141;Soya beans;2014;2014;ha;7242;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5312;Area harvested;141;Soya beans;2015;2015;ha;12311;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5312;Area harvested;141;Soya beans;2016;2016;ha;10608;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5312;Area harvested;141;Soya beans;2017;2017;ha;15344;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5312;Area harvested;141;Soya beans;2018;2018;ha;15230;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5312;Area harvested;141;Soya beans;2019;2019;ha;12240;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5312;Area harvested;141;Soya beans;2020;2020;ha;14150;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5312;Area harvested;141;Soya beans;2021;2021;ha;19680;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5419;Yield;141;Soya beans;2010;2010;hg/ha;17034;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5419;Yield;141;Soya beans;2011;2011;hg/ha;23647;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5419;Yield;141;Soya beans;2012;2012;hg/ha;22900;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5419;Yield;141;Soya beans;2013;2013;hg/ha;20702;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5419;Yield;141;Soya beans;2014;2014;hg/ha;22774;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5419;Yield;141;Soya beans;2015;2015;hg/ha;16439;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5419;Yield;141;Soya beans;2016;2016;hg/ha;26369;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5419;Yield;141;Soya beans;2017;2017;hg/ha;24121;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5419;Yield;141;Soya beans;2018;2018;hg/ha;16586;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5419;Yield;141;Soya beans;2019;2019;hg/ha;22745;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5419;Yield;141;Soya beans;2020;2020;hg/ha;23336;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5419;Yield;141;Soya beans;2021;2021;hg/ha;26148;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5510;Production;141;Soya beans;2010;2010;tonnes;16135;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5510;Production;141;Soya beans;2011;2011;tonnes;17934;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5510;Production;141;Soya beans;2012;2012;tonnes;13149;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5510;Production;141;Soya beans;2013;2013;tonnes;13471;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5510;Production;141;Soya beans;2014;2014;tonnes;16493;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5510;Production;141;Soya beans;2015;2015;tonnes;20238;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5510;Production;141;Soya beans;2016;2016;tonnes;27972;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5510;Production;141;Soya beans;2017;2017;tonnes;37012.29;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5510;Production;141;Soya beans;2018;2018;tonnes;25260;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5510;Production;141;Soya beans;2019;2019;tonnes;27840;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5510;Production;141;Soya beans;2020;2020;tonnes;33020;A;Official figure;
QCL;Crops and livestock products;203;Czechia;5510;Production;141;Soya beans;2021;2021;tonnes;51460;A;Official figure;
QCL;Crops and livestock products;208;Denmark;5312;Area harvested;141;Soya beans;2018;2018;ha;0;A;Official figure;
QCL;Crops and livestock products;208;Denmark;5312;Area harvested;141;Soya beans;2019;2019;ha;0;A;Official figure;
QCL;Crops and livestock products;208;Denmark;5312;Area harvested;141;Soya beans;2020;2020;ha;0;A;Official figure;
QCL;Crops and livestock products;208;Denmark;5312;Area harvested;141;Soya beans;2021;2021;ha;0;A;Official figure;
QCL;Crops and livestock products;208;Denmark;5510;Production;141;Soya beans;2018;2018;tonnes;0;A;Official figure;
QCL;Crops and livestock products;208;Denmark;5510;Production;141;Soya beans;2019;2019;tonnes;0;A;Official figure;
QCL;Crops and livestock products;208;Denmark;5510;Production;141;Soya beans;2020;2020;tonnes;0;A;Official figure;
QCL;Crops and livestock products;208;Denmark;5510;Production;141;Soya beans;2021;2021;tonnes;0;A;Official figure;
QCL;Crops and livestock products;233;Estonia;5312;Area harvested;141;Soya beans;2018;2018;ha;0;A;Official figure;
QCL;Crops and livestock products;233;Estonia;5312;Area harvested;141;Soya beans;2019;2019;ha;0;A;Official figure;
QCL;Crops and livestock products;233;Estonia;5312;Area harvested;141;Soya beans;2020;2020;ha;0;A;Official figure;
QCL;Crops and livestock products;233;Estonia;5312;Area harvested;141;Soya beans;2021;2021;ha;0;A;Official figure;
QCL;Crops and livestock products;233;Estonia;5510;Production;141;Soya beans;2018;2018;tonnes;0;A;Official figure;
QCL;Crops and livestock products;233;Estonia;5510;Production;141;Soya beans;2019;2019;tonnes;0;A;Official figure;
QCL;Crops and livestock products;233;Estonia;5510;Production;141;Soya beans;2020;2020;tonnes;0;A;Official figure;
QCL;Crops and livestock products;233;Estonia;5510;Production;141;Soya beans;2021;2021;tonnes;0;A;Official figure;
QCL;Crops and livestock products;246;Finland;5312;Area harvested;141;Soya beans;2020;2020;ha;0;A;Official figure;
QCL;Crops and livestock products;246;Finland;5312;Area harvested;141;Soya beans;2021;2021;ha;0;A;Official figure;
QCL;Crops and livestock products;246;Finland;5510;Production;141;Soya beans;2020;2020;tonnes;0;A;Official figure;
